roi,rho_simple,p_simple,rho_partial,p_partial,attenuation
L_S_circular_insula_ant,0.15816587504567048,0.1942838718195457,0.16967482645232007,0.16337623498647785,-0.011508951406649592
L_S_circular_insula_inf,0.045451223967848016,0.7107562373170164,0.017354767994154186,0.8874461103948954,0.02809645597369383
L_S_circular_insula_sup,-0.03653635367190355,0.7656659273130902,0.00021921812203142126,0.9985736265446826,0.03631713554987213
L_S_collat_transv_ant,0.08392400438436246,0.4929651089675643,-0.06759225429302157,0.5810594374401841,0.016331750091340885
L_S_collat_transv_post,-0.14786262331019365,0.22532924231133863,-0.07318231640482281,0.5501105032118061,0.07468030690537084
L_S_front_inf,0.12805991962002194,0.2943451305165301,0.025685056631348194,0.8340635088492853,0.10237486298867375
L_S_front_middle,0.058713920350749,0.6317833824381367,0.06401169163317502,0.6012919554588829,-0.00529777128242602
L_S_front_sup,0.14862988673730362,0.22290460257630373,0.0329192546583851,0.7882951924167791,0.11571063207891852
L_S_interm_prim-Jensen,0.40387285348922186,0.0005787597515949964,0.19287541103397882,0.11232639117583558,0.21099744245524304
L_S_intrapariet_and_P_trans,-0.04680306905370845,0.7025485968580945,-0.07453416149068325,0.5427471400621797,-0.027731092436974795
L_S_oc_middle_and_Lunatus,-0.23938618925831204,0.04758340687615657,-0.16079649251004752,0.18687448400731496,0.07858969674826452
L_S_oc_sup_and_transversal,-0.16810376324442822,0.16736741749440356,-0.11340884179758862,0.353494436654203,0.0546949214468396
L_S_occipital_ant,-0.013774205334307637,0.9105600371066004,-0.14157837047862626,0.24588207434055376,-0.1278041651443186
L_S_oc-temp_lat,-0.01834124954329558,0.8810935627184378,-0.14475703324808187,0.2353310892152278,-0.1264157837047863
L_S_oc-temp_med_and_Lingual,-0.21355498721227625,0.0780861242242344,-0.05608330288637195,0.6471588952672802,0.1574716843259043
L_S_orbital_lateral,0.4130434782608696,0.00041996375048963884,0.2701497990500548,0.0247709716586018,0.1428936792108148
L_S_orbital_med-olfact,-0.13142126415783706,0.2817482336051093,-0.12524662038728537,0.30516756725254024,0.0061746437705516855
L_S_orbital-H_Shaped,-0.1914139568871027,0.11512652572967745,-0.07409572524662039,0.5451299894051841,0.1173182316404823
L_S_parieto_occipital,-0.13343076360979175,0.2743907860739485,-0.007709170624771649,0.9498714514167126,0.12572159298502011
L_S_pericallosal,-0.0005480453050785533,0.9964340761081545,0.04187066130800147,0.7326521492073761,-0.04132261600292291
L_S_postcentral,0.1822798684691268,0.13385836259028186,0.017683595177201316,0.8853277888898404,0.1645962732919255
L_S_precentral-inf-part,0.2347460723419803,0.05219184379777906,0.023748629886737305,0.8464152536055148,0.210997442455243
L_S_precentral-sup-part,0.14128607964925102,0.24686829801184035,-0.023785166240409213,0.8461818502279472,0.1175009134088418
L_S_suborbital,-0.1268542199488491,0.2989521264171102,-0.11384727804165144,0.35162444886005384,0.013006941907197658
L_S_subparietal,0.2317500913408842,0.05535665838501609,0.09766167336499817,0.4246793672748036,0.13408841797588603
L_S_temporal_inf,0.14567044208987945,0.23235801819780308,-0.013737668980635734,0.9107963084923494,0.13193277310924373
L_S_temporal_sup,0.31344537815126056,0.008727355602207693,0.08750456704420899,0.47463274401703515,0.22594081110705155
L_S_temporal_transverse,0.12798684691267811,0.2946230108501882,0.013043478260869566,0.9152869066045086,0.11494336865180854
R_G_and_S_frontomargin,0.040226525392765805,0.7427793393370792,0.1490683229813665,0.2215273171336496,-0.10884179758860069
R_G_and_S_occipital_inf,-0.11929119473876508,0.32891772066881486,-0.1646328096455974,0.17643810357043246,-0.04534161490683232
